Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,modularity_class,betweenesscentrality,isfraud
30105,1,20,21,6306849,9890569,16197418,1,1,133,0.000003,1
28942,1,0,1,494528,0,494528,0,0,133,0,1
8692,1,0,1,494528,0,494528,0,0,133,0,1
60094,2,0,2,1719336,0,1719336,0,0,133,0,1
20575,1,0,1,494528,0,494528,0,0,133,0,1
45938,1,0,1,494528,0,494528,0,0,133,0,1
54971,1,0,1,494528,0,494528,0,0,133,0,1
62257,1,0,1,494528,0,494528,0,0,133,0,1
1020,1,0,1,494528,0,494528,0,0,133,0,1
98751,1,0,1,494528,0,494528,0,0,133,0,1
82016,1,0,1,494528,0,494528,0,0,133,0,1
13800,1,0,1,494528,0,494528,0,0,133,0,1
52681,1,0,1,494529,0,494529,0,0,133,0,1
80113,1,0,1,494529,0,494529,0,0,133,0,1
64316,1,0,1,494529,0,494529,0,0,133,0,1
94472,1,0,1,494529,0,494529,0,0,133,0,1
23762,1,0,1,494529,0,494529,0,0,133,0,1
12860,1,0,1,494529,0,494529,0,0,133,0,1
61008,1,0,1,494529,0,494529,0,0,133,0,1
3164,1,0,1,494529,0,494529,0,0,133,0,1
24259,1,0,1,494529,0,494529,0,0,133,0,1
80740,0,20,20,0,7765888,7765888,1,1,0,0,0
29758,1,0,1,388294,0,388294,0,0,0,0,1
47869,1,0,1,388294,0,388294,0,0,0,0,1
79227,1,0,1,388294,0,388294,0,0,0,0,1
68225,1,0,1,388294,0,388294,0,0,0,0,1
65031,1,0,1,388294,0,388294,0,0,0,0,1
90735,1,0,1,388294,0,388294,0,0,0,0,1
84696,1,0,1,388294,0,388294,0,0,0,0,1
67988,1,0,1,388294,0,388294,0,0,0,0,1
33384,1,0,1,388294,0,388294,0,0,0,0,1
57761,1,0,1,388294,0,388294,0,0,0,0,1
90295,1,0,1,388294,0,388294,0,0,0,0,1
28815,1,0,1,388294,0,388294,0,0,0,0,1
39965,1,0,1,388295,0,388295,0,0,0,0,1
48861,1,0,1,388295,0,388295,0,0,0,0,1
96543,1,0,1,388295,0,388295,0,0,0,0,1
83049,1,0,1,388295,0,388295,0,0,0,0,1
36644,1,0,1,388295,0,388295,0,0,0,0,1
12726,1,0,1,388295,0,388295,0,0,0,0,1
38032,1,0,1,388295,0,388295,0,0,0,0,1
19808,1,0,1,388295,0,388295,0,0,0,0,1
92735,0,25,25,0,7663409,7663409,1,1,56,0,0
16792,1,0,1,306536,0,306536,0,0,56,0,1
98862,1,0,1,306536,0,306536,0,0,56,0,1
64222,1,0,1,306536,0,306536,0,0,56,0,1
45890,1,0,1,306536,0,306536,0,0,56,0,1
76199,1,0,1,306536,0,306536,0,0,56,0,1
94635,1,0,1,306536,0,306536,0,0,56,0,1
11443,1,0,1,306536,0,306536,0,0,56,0,1
82726,2,0,2,1086420,0,1086420,0,0,56,0,1
78865,1,0,1,306536,0,306536,0,0,56,0,1
93295,1,0,1,306536,0,306536,0,0,56,0,1
23512,1,0,1,306536,0,306536,0,0,56,0,1
62065,1,0,1,306536,0,306536,0,0,56,0,1
63711,1,0,1,306536,0,306536,0,0,56,0,1
34121,1,0,1,306536,0,306536,0,0,56,0,1
53801,1,0,1,306536,0,306536,0,0,56,0,1
41429,1,0,1,306536,0,306536,0,0,56,0,1
12806,1,0,1,306537,0,306537,0,0,56,0,1
58732,1,0,1,306537,0,306537,0,0,56,0,1
9507,1,0,1,306537,0,306537,0,0,56,0,1
61512,1,0,1,306537,0,306537,0,0,56,0,1
87991,1,0,1,306537,0,306537,0,0,56,0,1
83840,1,0,1,306537,0,306537,0,0,56,0,1
30584,1,0,1,306537,0,306537,0,0,56,0,1
17423,1,0,1,306537,0,306537,0,0,56,0,1
44570,1,0,1,306537,0,306537,0,0,56,0,1
1615,0,14,14,0,8949217,8949217,3,0.842105,160,0,0
72623,1,0,1,639229,0,639229,0,0,160,0,1
6322,1,0,1,639229,0,639229,0,0,160,0,1
19592,1,0,1,639229,0,639229,0,0,160,0,1
21254,1,1,2,639230,3135930,3775160,2,0.666667,160,0,1
54400,1,0,1,639230,0,639230,0,0,160,0,1
8552,1,0,1,639230,0,639230,0,0,160,0,1
80966,1,0,1,639230,0,639230,0,0,160,0,1
46860,1,0,1,639230,0,639230,0,0,160,0,1
7203,1,0,1,639230,0,639230,0,0,160,0,1
11667,1,0,1,639230,0,639230,0,0,160,0,1
6054,1,0,1,639230,0,639230,0,0,160,0,1
37081,1,0,1,639230,0,639230,0,0,160,0,1
33284,1,0,1,639230,0,639230,0,0,160,0,1
3335,1,0,1,639230,0,639230,0,0,160,0,1
4161,0,30,30,0,14098924,14098924,2,0.941176,95,0,0
7806,2,0,2,6964829,0,6964829,0,0,95,0,1
93672,1,0,1,249081,0,249081,0,0,95,0,1
75260,1,0,1,249081,0,249081,0,0,95,0,1
52002,1,0,1,249081,0,249081,0,0,95,0,1
50023,1,0,1,249081,0,249081,0,0,95,0,1
7038,1,1,2,249081,2052036,2301117,1,1,95,0,1
32828,1,0,1,249081,0,249081,0,0,95,0,1
99617,1,0,1,249081,0,249081,0,0,95,0,1
34858,1,0,1,249081,0,249081,0,0,95,0,1
28744,1,0,1,249081,0,249081,0,0,95,0,1
