source,target,transaction,weight
61,68275,1,631490
185,6477,1,518689
195,35270,1,335249
226,42168,1,226479
239,86839,1,478195
246,51149,1,316129
294,42293,1,6763814
334,28048,1,4628330
349,6966,1,3750180
355,32083,1,5820894
414,84965,1,5983503
447,29601,1,3503270
572,94670,1,376890
596,88309,1,1926121
603,57361,1,1758852
636,63148,1,7013498
723,24818,1,1267920
728,83790,1,274713
861,56503,1,7525659
862,95498,1,281506
863,59470,1,335914
866,15552,1,4740137
939,91556,1,4387938
950,88357,1,6493011
1008,19795,1,7042628
1126,77952,1,288956
1133,90946,1,222032
1145,73250,1,4387938
1265,66955,1,7474036
1286,17233,1,1542996
1366,3381,1,5523379
1366,48104,1,2916631
1489,34989,1,340443
1489,77795,1,1783682
1549,71746,1,4939185
1549,77952,1,288956
1577,84551,1,6654803
1615,3335,1,639230
1615,6054,1,639230
1615,6322,1,639229
1615,7203,1,639230
1615,8552,1,639230
1615,11667,1,639230
1615,19592,1,639229
1615,21254,1,639230
1615,33284,1,639230
1615,37081,1,639230
1615,46860,1,639230
1615,54400,1,639230
1615,72623,1,639229
1615,80966,1,639230
1646,87331,1,112917
1650,51149,1,316129
1683,11620,1,3606548
1683,96773,1,6468847
1841,71167,1,2106105
1841,83673,1,99015
1895,42005,1,4855182
1895,66200,1,592123
1897,24338,1,1642372
1916,59470,1,335914
1991,82483,1,5972619
2064,14943,1,525627
2106,23641,1,1688103
2137,70023,1,765028
2232,6254,1,1224511
2266,83988,1,268782
2289,78494,1,671097
2295,27828,1,3147590
2349,59772,1,5004735
2466,44313,1,6493011
2476,85333,1,1824805
2476,92988,1,4942500
2486,86903,1,215500
2608,26551,1,1180054
2658,28046,1,328814
2720,12602,1,6738027
2802,87433,1,6944610
2855,78494,1,671096
2896,51149,1,316128
2984,52750,1,2519622
3060,21551,1,1476902
3067,16921,1,1866891
3092,22427,1,1145624
3092,61346,1,288350
3157,2232,1,3221883
3185,46114,1,7013498
3226,43793,1,106906
3361,6477,1,518689
3381,50866,1,5523379
3389,94221,1,3446773
3508,28046,1,328814
3529,51149,1,316128
3594,88623,1,3623277
3714,28046,1,328814
3798,51215,1,3286975
3821,73055,1,361845
3828,61320,1,1841260
3854,89131,1,349001
3912,62828,1,5523379
3961,43732,1,4969901
3961,76162,1,6850595
3985,4055,1,4432076
4017,33174,1,6937925
4089,3329,1,422087
4108,35891,1,2414479
4113,85486,1,2269971
4161,1599,1,249082
4161,2174,1,249082
4161,6724,1,249082
4161,7038,1,249081
4161,7806,1,249081
4161,10834,1,249082
4161,18561,1,6875557
4161,27404,1,249082
4161,28744,1,249081
4161,29501,1,249082
4161,32828,1,249081
4161,34858,1,249081
4161,39477,1,249082
4161,43619,1,249081
4161,44546,1,249082
4161,49193,1,249082
4161,50023,1,249081
4161,52002,1,249081
4161,54547,1,249082
4161,64321,1,249082
4161,73770,1,249082
4161,75260,1,249081
4161,76270,1,249082
4161,83480,1,249082
4161,88949,1,249082
4161,93672,1,249081
4161,94376,1,249082
4161,96342,1,249082
4161,98501,1,249082
4161,99617,1,249081
4348,86903,1,215500
4387,9987,1,652281
4443,89131,1,349001
4463,65272,1,616869
4470,84461,1,2596920
4474,42168,1,226479
4530,51149,1,316129
4588,30874,1,7881878
4609,72851,1,3953018
4622,7538,1,3503270
4689,73081,1,7259213
4689,75678,1,1158968
4763,52672,1,4387938
4819,73913,1,2171650
4832,38638,1,3954174
4859,19283,1,277215
4862,59470,1,335914
4944,15821,1,2326034
4986,95498,1,281507
5083,29168,1,2683427
5110,62286,1,6421783
5128,42168,1,226479
5185,42168,1,226479
5217,31163,1,363046
5224,4388,1,3944928
5396,23417,1,316393
5442,92022,1,4287159
5490,51446,1,6080470
5499,88631,1,3152907
5569,58674,1,625093
5629,41703,1,4035833
5645,70436,1,6944610
5702,65057,1,5815280
5780,95498,1,281507
5795,17240,1,4289505
5891,27880,1,7629866
5908,9987,1,652281
5917,33125,1,499494
5927,78494,1,671096
5953,6477,1,2009005
5964,78494,1,671096
6120,51149,1,316129
6162,21496,1,1855160
6211,40833,1,5505135
6281,83790,1,274713
6285,18941,1,386525
6380,80401,1,630852
6431,21366,1,4371028
6547,78030,1,594523
6599,32997,1,6654803
6599,50700,1,220813
6619,22080,1,1331102
6678,40154,1,1180054
6709,83988,1,268781
6711,27336,1,2188635
6727,23494,1,2724504
6727,58630,1,6455691
6752,95498,1,281506
6754,83988,1,268782
6762,83988,1,268781
6847,28046,1,328814
6890,64136,1,184924
6953,42168,1,226479
7038,83673,1,2052036
7181,61346,1,288351
7415,69994,1,2000595
7480,80408,1,4973740
7538,15428,1,3503270
7633,73423,1,3829176
7637,77952,1,288956
7654,13064,1,1367414
7654,86315,1,7422956
7828,28174,1,2814218
7844,57355,1,5820894
7960,55735,1,1026062
7960,96938,1,145440
8056,50710,1,3174284
8130,14943,1,525626
8221,28046,1,328814
8329,86560,1,2892490
8400,6477,1,518689
8439,95498,1,281506
8475,47018,1,2351552
8475,68269,1,7013498
8509,82804,1,6654803
8550,562,1,275217
8550,5807,1,275217
8550,6886,1,275217
8550,9064,1,275217
8550,28645,1,275217
8550,32084,1,275217
8550,35146,1,275217
8550,43462,1,275217
8550,53029,1,275217
8550,58183,1,275217
8550,59526,1,275217
8550,66241,1,275217
8550,71916,1,275217
8550,87178,1,275217
8550,90066,1,275217
8550,90174,1,275217
8550,91241,1,275217
8550,93401,1,275217
8550,97122,1,275217
8550,98551,1,275217
8566,68275,1,5004735
8567,87555,1,6944610
8581,27487,1,1349463
8637,38215,1,7013498
8654,83790,1,274713
8657,57832,1,5523379
8719,59910,1,5820894
8764,60280,1,2124536
8822,51149,1,316129
8827,61399,1,4845403
8953,9987,1,862405
8953,90794,1,1922266
8956,51149,1,316128
8971,71695,1,5815280
9107,84347,1,3295362
9232,42168,1,226479
9277,83790,1,274713
9287,77952,1,288956
9309,17700,1,1299187
9368,88486,1,5815280
9373,28248,1,4657933
9373,86839,1,478195
9398,29363,1,4938001
9408,47099,1,6654803
9462,65474,1,1866686
9490,56185,1,7422956
9532,43793,1,106907
9614,83790,1,274713
9700,51915,1,4234770
9735,89131,1,349001
9761,73630,1,5815280
9810,51713,1,6352694
9841,832,1,5185606
9884,95983,1,7013498
10011,59470,1,335914
10085,75200,1,7881878
10147,29990,1,1023149
10177,52894,1,2014638
10195,42168,1,226479
10202,8566,1,5004735
10317,74938,1,1026663
10402,73055,1,361845
10404,86903,1,215499
10560,16835,1,7621775
10607,35270,1,335248
10608,16272,1,6493011
10681,35270,1,335249
10859,48510,1,5544956
10908,43793,1,106907
10997,33473,1,7422956
11054,10804,1,2091010
11058,18941,1,386526
11077,26825,1,669125
11196,83988,1,268782
11200,73055,1,1178060
11200,79868,1,4052075
11279,31819,1,716289
11340,14943,1,525627
11380,80195,1,3319685
11525,15632,1,4972373
11525,75209,1,6465639
11620,41819,1,6086012
11620,82688,1,3529488
11647,59470,1,335915
11686,9324,1,3878422
11695,74486,1,6493011
11699,832,1,1702403
11699,93579,1,2987751
11850,55033,1,4040477
11910,73055,1,361845
11942,44430,1,4085522
12013,51149,1,316129
12080,67573,1,6738027
12159,31132,1,7259213
12290,31377,1,7629866
12303,86732,1,650038
12363,60363,1,7525659
12394,12290,1,7629866
12431,42168,1,226479
12445,97343,1,7525659
12533,90499,1,716889
12602,39850,1,6738027
12652,94211,1,5644467
12655,78030,1,594522
12712,42838,1,4387938
12859,60685,1,7130066
12870,70402,1,535208
12887,73055,1,361845
12924,56619,1,3197368
12962,95511,1,174059
13064,76451,1,2166982
13183,59470,1,335915
13203,98237,1,674474
13272,5645,1,6944610
13293,1366,1,2310552
13410,95198,1,7422956
13431,83381,1,1634913
13484,62066,1,4728885
13506,19544,1,4918859
13506,55217,1,1994667
13541,86616,1,7259213
13594,64373,1,2093588
13618,90946,1,222032
13655,30428,1,4886683
13685,78030,1,594523
13760,32080,1,4369196
13772,28046,1,328814
13790,78030,1,594522
13911,92420,1,7525659
13919,6984,1,323248
13919,11846,1,323248
13919,25667,1,323248
13919,26472,1,323248
13919,27636,1,323248
13919,31440,1,323248
13919,33512,1,323248
13919,33911,1,323248
13919,44716,1,323248
13919,45513,1,323248
13919,50139,1,323248
13919,53522,1,323248
13919,57534,1,323248
13919,57919,1,323248
13919,59719,1,323249
13919,61430,1,323248
13919,63975,1,323248
13919,68015,1,323248
13919,79614,1,323248
13919,86945,1,323248
13919,87092,1,323248
13919,90767,1,323248
13919,95241,1,323248
13919,95350,1,323248
13983,54664,1,4793288
14036,55166,1,511709
14057,33935,1,611056
14092,95498,1,281506
14095,42594,1,2011893
14126,95498,1,281506
14146,95498,1,281506
14309,42168,1,226479
14355,42168,1,226479
14363,95594,1,5972619
14528,78494,1,671097
14613,83790,1,274713
14614,31073,1,3372794
14648,3329,1,422087
14656,6477,1,518690
14664,91860,1,1682797
14846,84900,1,1436502
14931,85860,1,3661870
14945,43793,1,106907
15048,28135,1,4260117
15050,6225,1,3909908
15050,58980,1,1335967
15100,83790,1,274712
15214,95498,1,281507
15264,83912,1,160095
15287,10919,1,2483966
15335,48518,1,631415
15486,35270,1,335248
15517,7654,1,7422956
15530,73375,1,2389506
15539,35677,1,4317737
15558,59047,1,4699498
15558,81278,1,6493011
15597,58273,1,4263762
15597,88223,1,1605747
15632,35133,1,1244016
15746,83790,1,274712
15766,34294,1,4707675
15793,28005,1,7474036
15889,77721,1,3574931
15913,99193,1,5820894
15988,83790,1,274713
16037,21259,1,2686780
16272,62981,1,6493011
16286,61097,1,2501756
16290,12859,1,7130066
16346,77952,1,288957
16409,32349,1,4478012
16422,90946,1,222032
16485,44689,1,2870700
16595,41370,1,5178964
16633,65511,1,330293
16835,58819,1,7621775
16863,38558,1,6352694
16917,51149,1,316128
16921,75252,1,224357
16974,22898,1,3284761
16988,32346,1,226695
16988,74937,1,4637190
17011,67775,1,347290
17015,15214,1,4290973
17015,52570,1,1610222
17067,61320,1,7130066
17130,86839,1,478195
17401,13760,1,4369196
17446,4857,1,1648432
17447,12872,1,1797725
17447,75076,1,4128552
17576,83939,1,185456
17617,83988,1,268782
17700,88390,1,1592377
17819,9884,1,7013498
17894,74713,1,1310436
17909,38002,1,6615328
17928,83988,1,268781
17988,90946,1,222032
18036,62556,1,13332
18124,73026,1,931666
18125,52747,1,5074243
18192,33489,1,2412412
18202,3608,1,2875979
18220,14943,1,525627
18238,83988,1,268782
18262,27723,1,7881878
18263,48977,1,5820894
18283,62556,1,13332
18415,40262,1,5505135
18510,65118,1,1395815
18529,83988,1,268782
18561,99227,1,144129
18626,29492,1,4629576
18652,46559,1,7259213
18690,86903,1,215499
18803,7426,1,6375559
18860,90946,1,222031
18899,79698,1,7629866
18972,62001,1,5523379
19022,93428,1,4387938
19104,25355,1,44893
19104,30226,1,44893
19104,35911,1,44893
19104,38543,1,44893
19104,45136,1,44893
19104,48379,1,44893
19104,51392,1,44893
19104,56102,1,44893
19104,61426,1,44893
19104,64427,1,44894
19104,78726,1,44893
19104,97525,1,44893
19236,29620,1,1457754
19397,51149,1,316129
19544,36614,1,3365041
19584,90946,1,222032
19597,1265,1,7474036
19621,14943,1,525626
19626,6477,1,518689
19682,61346,1,288350
19706,59470,1,335914
19795,36123,1,7042628
19833,61346,1,288351
20051,87338,1,3874713
20238,95209,1,7259213
20246,55566,1,1581600
20261,83790,1,274713
20300,67339,1,3617276
20337,50110,1,461029
20337,90946,1,222032
20358,77508,1,445248
20451,61346,1,288350
20457,24114,1,781465
20546,86594,1,599428
20779,61,1,4697163
20779,32548,1,379128
20814,61346,1,288350
20843,28570,1,4897074
20849,36154,1,1604298
20849,70229,1,5820894
20874,78030,1,594523
20896,39185,1,3603745
20909,39331,1,5760785
21038,16863,1,6352694
21067,18165,1,1342478
21067,86903,1,215500
21197,14943,1,525626
21206,18941,1,386526
21226,88390,1,3550767
21254,33855,1,3135930
21262,88684,1,1715903
21341,74301,1,1265886
21474,47698,1,5806795
21507,13013,1,6434292
21515,75244,1,2096746
21533,40003,1,3621697
21638,62556,1,13332
21697,31137,1,6738027
21769,2665,1,1192521
21777,59470,1,335914
21933,28680,1,7042628
21941,76094,1,6738027
21955,20300,1,2808503
22046,51149,1,316129
22046,70275,1,1745188
22049,80349,1,305353
22049,86903,1,215499
22247,54765,1,3629536
22279,78391,1,5820894
22294,24762,1,4452946
22313,77508,1,445249
22341,636,1,7013498
22427,58899,1,4687751
22766,68084,1,4396738
22992,77952,1,288956
23021,35384,1,5505135
23041,82061,1,1339767
23069,3828,1,2348784
23069,47590,1,4555562
23082,73055,1,361845
23120,23021,1,5505135
23147,89131,1,349000
23161,89131,1,349001
23177,28046,1,328814
23199,65145,1,7621775
23219,51149,1,316128
23263,22251,1,3008377
23289,90946,1,222032
23329,77289,1,5505135
23333,51985,1,5820894
23347,54049,1,980693
23417,34544,1,3840604
23436,23329,1,5505135
23477,68698,1,302294
23503,74586,1,7422956
23506,86839,1,478195
23514,38448,1,1667990
23636,6477,1,518689
23686,25511,1,2768237
23718,75731,1,7259213
23784,38993,1,3083463
23784,61346,1,288350
23801,86903,1,215499
23803,90946,1,222032
23812,29698,1,3817906
23824,40603,1,2924731
23831,77407,1,4895580
23853,80326,1,454238
23866,91137,1,6738027
23867,33114,1,1013817
23952,54510,1,1175847
24009,99360,1,1784913
24041,1666,1,322413
24041,9570,1,322414
24041,16524,1,322413
24041,18626,1,322413
24041,21197,1,322413
24041,23893,1,322413
24041,33426,1,322413
24041,33601,1,322413
24041,34756,1,322413
24041,36891,1,322413
24041,39060,1,322413
24041,39661,1,322414
24041,45493,1,322413
24041,46541,1,322413
24041,49937,1,322414
24041,55422,1,322413
24041,56913,1,322413
24041,56984,1,322414
24041,66669,1,322413
24041,86853,1,322413
24041,88176,1,322413
24041,92217,1,322414
24041,96977,1,322413
24099,25210,1,4844598
24114,25682,1,1951655
24193,31031,1,7525659
24207,94670,1,376890
24249,90946,1,222032
24306,23199,1,7621775
24405,83790,1,274713
24411,939,1,4387938
24440,81312,1,2357356
24441,12242,1,2954186
24441,23236,1,2954186
24441,94201,1,2954186
24510,78559,1,4730973
24510,95498,1,3271848
24556,1257,1,367154
24583,94580,1,6654803
24637,23120,1,5505135
24653,81941,1,4673230
24748,99772,1,3503270
24829,67002,1,1395815
25156,95498,1,281506
25410,98222,1,7042628
25531,37485,1,7012527
25554,59135,1,7474036
25563,9987,1,652281
25682,59982,1,5505135
25790,31163,1,363046
25847,35270,1,335249
25848,86903,1,215500
25929,17258,1,4497752
25930,38206,1,66930
26096,42168,1,226479
26097,59470,1,335915
26144,35270,1,335249
26173,24411,1,4387938
26217,4919,1,2669309
26220,86839,1,478195
26248,89131,1,349001
26293,18165,1,3963280
26293,29182,1,378583
26296,26740,1,1459806
26364,51149,1,316129
26390,43793,1,106907
26416,83790,1,274713
26448,83790,1,274713
26481,28046,1,328815
26551,33564,1,1180054
26579,83790,1,274713
26650,63119,1,6421783
26734,78224,1,6654803
26735,78494,1,671096
26783,6477,1,518690
26802,82070,1,3388934
26878,41341,1,1481266
26886,73055,1,361845
27119,35270,1,335248
27205,7012,1,7012527
27234,83988,1,268781
27283,200,1,328738
27283,699,1,328738
27283,12802,1,328739
27283,15631,1,328738
27283,25903,1,328738
27283,30617,1,328738
27283,32925,1,328739
27283,40542,1,328738
27283,42325,1,328738
27283,62007,1,328739
27283,66844,1,328739
27283,69374,1,328738
27283,77879,1,328738
27283,79182,1,328738
27283,84171,1,328738
27283,88291,1,328738
27332,43793,1,106907
27336,44881,1,381968
27507,80925,1,1262145
27522,59201,1,7525659
27583,28306,1,818780
27633,66588,1,515641
27636,78030,1,594523
27662,92734,1,5268988
27723,76733,1,7881878
27771,14943,1,525627
27771,74938,1,1077674
27855,22279,1,5820894
27986,76031,1,5280855
28005,77462,1,7474036
28046,8950,1,3655808
28046,73630,1,2568792
28150,44752,1,7130066
28238,32176,1,1180054
28248,60455,1,1602992
28267,95498,1,281506
28292,24583,1,6654803
28369,14453,1,1932291
28424,17067,1,7130066
28552,73055,1,361846
28562,58427,1,966820
28680,61453,1,7042628
29043,43793,1,106907
29080,83596,1,1920494
29182,4588,1,7881878
29182,85902,1,351589
29188,18941,1,386526
29256,50096,1,1116142
29297,27522,1,7525659
29367,65274,1,6525482
29444,44823,1,1395815
29492,43138,1,1335905
29555,83209,1,7012527
29594,62188,1,5549084
29601,4622,1,3503270
29681,30154,1,4727747
29754,83790,1,274713
29763,17266,1,3405797
29791,84810,1,5505135
29947,29996,1,1153116
29968,35235,1,4264367
30057,73055,1,361846
30084,10836,1,2007950
30105,1020,1,494528
30105,3164,1,494529
30105,8692,1,494528
30105,12860,1,494529
30105,13800,1,494528
30105,20575,1,494528
30105,23762,1,494529
30105,24259,1,494529
30105,28942,1,494528
30105,45938,1,494528
30105,52681,1,494529
30105,54971,1,494528
30105,60094,1,494528
30105,61008,1,494529
30105,62257,1,494528
30105,64316,1,494529
30105,80113,1,494529
30105,82016,1,494528
30105,94472,1,494529
30105,98751,1,494528
30335,31163,1,363046
30351,54421,1,7259213
30509,43439,1,5384694
30530,36647,1,7270189
30553,89924,1,7013498
30644,77620,1,656767
