Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class
30105,1,20,21,6306849,9890569,16197418,1,1,1,0.000003,0,20,123
28942,1,0,1,494528,0,494528,0,0,0,0,0,19,123
8692,1,0,1,494528,0,494528,0,0,0,0,0,18,123
60094,2,0,2,1719336,0,1719336,0,0,0,0,0,17,123
20575,1,0,1,494528,0,494528,0,0,0,0,0,16,123
45938,1,0,1,494528,0,494528,0,0,0,0,0,15,123
54971,1,0,1,494528,0,494528,0,0,0,0,0,14,123
62257,1,0,1,494528,0,494528,0,0,0,0,0,13,123
1020,1,0,1,494528,0,494528,0,0,0,0,0,12,123
98751,1,0,1,494528,0,494528,0,0,0,0,0,11,123
82016,1,0,1,494528,0,494528,0,0,0,0,0,10,123
13800,1,0,1,494528,0,494528,0,0,0,0,0,9,123
52681,1,0,1,494529,0,494529,0,0,0,0,0,8,123
80113,1,0,1,494529,0,494529,0,0,0,0,0,7,123
64316,1,0,1,494529,0,494529,0,0,0,0,0,6,123
94472,1,0,1,494529,0,494529,0,0,0,0,0,5,123
23762,1,0,1,494529,0,494529,0,0,0,0,0,4,123
12860,1,0,1,494529,0,494529,0,0,0,0,0,3,123
61008,1,0,1,494529,0,494529,0,0,0,0,0,2,123
3164,1,0,1,494529,0,494529,0,0,0,0,0,1,123
24259,1,0,1,494529,0,494529,0,0,0,0,0,0,123
80740,0,20,20,0,7765888,7765888,1,1,1,0,1,41,0
29758,1,0,1,388294,0,388294,0,0,0,0,1,40,0
47869,1,0,1,388294,0,388294,0,0,0,0,1,39,0
79227,1,0,1,388294,0,388294,0,0,0,0,1,38,0
68225,1,0,1,388294,0,388294,0,0,0,0,1,37,0
65031,1,0,1,388294,0,388294,0,0,0,0,1,36,0
90735,1,0,1,388294,0,388294,0,0,0,0,1,35,0
84696,1,0,1,388294,0,388294,0,0,0,0,1,34,0
67988,1,0,1,388294,0,388294,0,0,0,0,1,33,0
33384,1,0,1,388294,0,388294,0,0,0,0,1,32,0
57761,1,0,1,388294,0,388294,0,0,0,0,1,31,0
90295,1,0,1,388294,0,388294,0,0,0,0,1,30,0
28815,1,0,1,388294,0,388294,0,0,0,0,1,29,0
39965,1,0,1,388295,0,388295,0,0,0,0,1,28,0
48861,1,0,1,388295,0,388295,0,0,0,0,1,27,0
96543,1,0,1,388295,0,388295,0,0,0,0,1,26,0
83049,1,0,1,388295,0,388295,0,0,0,0,1,25,0
36644,1,0,1,388295,0,388295,0,0,0,0,1,24,0
12726,1,0,1,388295,0,388295,0,0,0,0,1,23,0
38032,1,0,1,388295,0,388295,0,0,0,0,1,22,0
19808,1,0,1,388295,0,388295,0,0,0,0,1,21,0
92735,0,25,25,0,7663409,7663409,1,1,1,0,2,67,211
16792,1,0,1,306536,0,306536,0,0,0,0,2,66,211
98862,1,0,1,306536,0,306536,0,0,0,0,2,65,211
64222,1,0,1,306536,0,306536,0,0,0,0,2,64,211
45890,1,0,1,306536,0,306536,0,0,0,0,2,63,211
76199,1,0,1,306536,0,306536,0,0,0,0,2,62,211
94635,1,0,1,306536,0,306536,0,0,0,0,2,61,211
11443,1,0,1,306536,0,306536,0,0,0,0,2,60,211
82726,2,0,2,1086420,0,1086420,0,0,0,0,2,59,211
78865,1,0,1,306536,0,306536,0,0,0,0,2,58,211
93295,1,0,1,306536,0,306536,0,0,0,0,2,57,211
23512,1,0,1,306536,0,306536,0,0,0,0,2,56,211
62065,1,0,1,306536,0,306536,0,0,0,0,2,55,211
63711,1,0,1,306536,0,306536,0,0,0,0,2,54,211
34121,1,0,1,306536,0,306536,0,0,0,0,2,53,211
53801,1,0,1,306536,0,306536,0,0,0,0,2,52,211
41429,1,0,1,306536,0,306536,0,0,0,0,2,51,211
12806,1,0,1,306537,0,306537,0,0,0,0,2,50,211
58732,1,0,1,306537,0,306537,0,0,0,0,2,49,211
9507,1,0,1,306537,0,306537,0,0,0,0,2,48,211
61512,1,0,1,306537,0,306537,0,0,0,0,2,47,211
87991,1,0,1,306537,0,306537,0,0,0,0,2,46,211
83840,1,0,1,306537,0,306537,0,0,0,0,2,45,211
30584,1,0,1,306537,0,306537,0,0,0,0,2,44,211
17423,1,0,1,306537,0,306537,0,0,0,0,2,43,211
44570,1,0,1,306537,0,306537,0,0,0,0,2,42,211
1615,0,14,14,0,8949217,8949217,3,0.842105,0.927083,0,3,84,150
72623,1,0,1,639229,0,639229,0,0,0,0,3,83,150
6322,1,0,1,639229,0,639229,0,0,0,0,3,82,150
19592,1,0,1,639229,0,639229,0,0,0,0,3,81,150
21254,1,1,2,639230,3135930,3775160,2,0.666667,0.75,0,3,80,150
54400,1,0,1,639230,0,639230,0,0,0,0,3,77,150
8552,1,0,1,639230,0,639230,0,0,0,0,3,76,150
80966,1,0,1,639230,0,639230,0,0,0,0,3,75,150
46860,1,0,1,639230,0,639230,0,0,0,0,3,74,150
7203,1,0,1,639230,0,639230,0,0,0,0,3,73,150
11667,1,0,1,639230,0,639230,0,0,0,0,3,72,150
6054,1,0,1,639230,0,639230,0,0,0,0,3,71,150
37081,1,0,1,639230,0,639230,0,0,0,0,3,70,150
33284,1,0,1,639230,0,639230,0,0,0,0,3,69,150
